"Header","Principal Entity Name"
"122332","Balancehero India Private Limited"
"122333","THE JALGAON PEOPLES COOPERATIVE BANK LTD. JALGAON"
"122343","Balancehero India Private Limited"
"122555","Indian Financial Technology and Allied Services"
"123123","Kistone Digital Technology Solutions Private Limited"
"123232","INNOVAGE FINTECH PRIVATE LIMITED"
"123234","FINWIZARD TECHNOLOGY PRIVATE LIMITED"
"123235","FINWIZARD TECHNOLOGY PRIVATE LIMITED"
"123321","SHRIRAM HOUSING FINANCE LIMITED"
"123323","RAJARAMBAPU BANK SAHAKARI BANK LTD"
"123409","THE NATIONAL CO OPERATIVE BANK LIMITED"
"123412","BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED"
"123444","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"123455","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"123456","Blue Jay Finlease Limited"
"123458","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"123465","Arthashastra Fintech Pvt. Ltd."
"123555","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"123654","THE SAURASHTRA CO"
"123658","Reliance Nippon Life Insurance Company Limited"
"123666","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"123777","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"123800","RIGHTSTART BUSINESS PRIVATE LIMITED"
"123888","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"123890","NEOGROWTH CREDIT PVT LTD"
"123893","RDG WEB CORPORATION"
"123895","RDG WEB CORPORATION"
"123896","RDG WEB CORPORATION"
"123999","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"124124","Pinnacle Tele Services Private Limited"
"124421","PaySense Services India Pvt Ltd"
"124680","Mintoak Innovations Pvt Ltd"
"125125","Pinnacle Tele Services Private Limited"
"126000","The Kalupur commercial cooperative Bank Ltd."
"126001","The Kalupur commercial cooperative Bank Ltd."
"126002","The Kalupur commercial cooperative Bank Ltd."
"126003","The Kalupur commercial cooperative Bank Ltd."
"126126","Pinnacle Tele Services Private Limited"
"126666","INDUSIND BANK LIMITED"
"126995","BANK OF INDIA"
"127127","Pinnacle Tele Services Private Limited"
"127272","AADINIRA CONSULTANTS PVT LTD"
"127777","INDUSIND BANK LIMITED"
"128119","The KARNATAKA BANK LIMITED"
"128128","Pinnacle Tele Services Private Limited"
"129129","Pinnacle Tele Services Private Limited"
"130000","DCB Bank Limited"
"130001","RBL BANK LIMITED"
"130011","RBL BANK LIMITED"
"130012","DCB Bank Limited"
"130013","PUNJAB AND MAHARASHTRA CO OPERATIVE BANK"
"130130","Pinnacle Tele Services Private Limited"
"131019","CX VENTURES PRIVATE LIMITED"
"131020","CX VENTURES PRIVATE LIMITED"
"131131","Pinnacle Tele Services Private Limited"
"131214","Bhanix Finance and Investment Limited"
"131219","AWLENCAN INNOVATIONS INDIA LIMITED"
"131313","SBI Cards and Payment Services Limited"
"131415","RBL BANK LIMITED"
"131713","DIGIKREDIT FINANCE PRIVATE LIMITED"
"132008","IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED"
"132132","SAMRUDDHI COOPERATIVE BANK LTD.,NAGPUR"
"132311","IMPERIAL INVESTMENT CONSULTANCY SERVICES PVT LTD"
"132546","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"133222","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"133331","NSDL DATABASE MANAGEMENT LIMITED"
"133332","NSDL DATABASE MANAGEMENT LIMITED"
"133333","THE JAMMU AND KASHMIR BANK LIMITED"
"133334","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"133444","UNIMONI FINANCIAL SERVICES LIMITED"
"133457","Bvalue Services Private Limited"
"133673","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"133922","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"134448","Go Digit General Insurance Limited"
"134567","Arthashastra Fintech Pvt. Ltd."
"135791","Mintoak Innovations Pvt Ltd"
"136116","SHRIRAM LIFE INSURANCE COMPANY LIMITED"
"136699","Savensa Business Solutions Private Limited"
"139421","NJ India Invest Private Limited"
"140001","RBL BANK LIMITED"
"140011","RBL BANK LIMITED"
"140063","Hitachi Payment Services Private Limited"
"140285","Nav Jeevan Cooperative Bank Limited"
"140601","ORIENTAL BANK OF COMMERCE"
"140606","BAJAJ FINANCE LIMITED"
"141414","SBI Cards and Payment Services Limited"
"141516","STATE BANK OF INDIA"
"142019","Jharkhand Rajya Gramin Bank"
"142142","Pinnacle Tele Services Private Limited"
"142241","MAYBRIGHT VENTURES PRIVATE LIMITED"
"142421","ICICI BANK LIMITED"
"142424","ICICI BANK LIMITED"
"143134","Reliance General Insurance Company Limited"
"143143","Pinnacle Tele Services Private Limited"
"143242","DCB Bank Limited"
"143256","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"144144","Pinnacle Tele Services Private Limited"
"144333","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"144441","National Securities Depository Limited"
"144443","National Securities Depository Limited"
"144444","SHRIRAM TRANSPORT FINANCECOMPANY LIMITED"
"144445","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"144555","THE SARASWAT CO"
"144806","THE HASTI COOP BANK LTD"
"145145","Pinnacle Tele Services Private Limited"
"145326","INDIAN FAMILY G GROUP"
"145541","PROVIDENTIAL ADVISORY SERVICES PRIVATE LIMITED"
"146146","Pinnacle Tele Services Private Limited"
"146464","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"146587","HDFC BANK LIMITED"
"146588","BAJAJ FINANCE LIMITED"
"147147","Pinnacle Tele Services Private Limited"
"147566","ACE ENTERPRISE"
"148148","Pinnacle Tele Services Private Limited"
"149149","Pinnacle Tele Services Private Limited"
"150000","DCB Bank Limited"
"150001","RBL BANK LIMITED"
"150150","Pinnacle Tele Services Private Limited"
"150161","GLOBAL EDUCATION LIMITED"
"150773","The KARNATAKA BANK LIMITED"
"150850","SHCIL SERVICES LIMITED"
"151053","Rajkot Nagarik Sahakari Bank Ltd."
"151151","Pinnacle Tele Services Private Limited"
"151234","Dombivli Nagri Sahakari Bank Limited"
"151515","RHR NIDHI LIMITED"
"151617","Bhanix Finance and Investment Limited"
"151892","Gopinath Patil Parsik Janata Sahakari Bank"
"151899","The Junagadh Commercial Co. Op. Bank Ltd"
"151974","JANAKALYAN SAHAKARI BANK LTD"
"152152","Pinnacle Tele Services Private Limited"
"152484","Citi Bank"
"152525","AADINIRA CONSULTANTS PVT LTD"
"153153","Pinnacle Tele Services Private Limited"
"153267","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"154154","Pinnacle Tele Services Private Limited"
"154321","BANDHAN BANK LIMITED"
"154326","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"154545","Edelweiss Housing Finance Limited"
"154987","THE SARDARGUNJ MERCHNTILE CO OP BANK LTD"
"155060","MAITRA COMMODITIES PVT LTD"
"155155","Pinnacle Tele Services Private Limited"
"155223","Reliance Jio Infocomm Limited"
"155444","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"155551","EQUITAS SMALL FINANCE BANK LIMITED"
"155554","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"155555","THE SARASWAT CO"
"155556","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"155560","ECL Finance Limited"
"155660","ECL Finance Limited"
"155880","INNOVAGE FINTECH PRIVATE LIMITED"
"155999","flexypay solutions pvt ltd"
"156156","Pinnacle Tele Services Private Limited"
"156565","Indiabulls Consumer Finance limited"
"156732","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"156777","Bajaj Finserv Health Limited"
"157157","Pinnacle Tele Services Private Limited"
"157823","SUBPE SOLUTIONS PRIVATE LIMITED"
"157824","SUBPE SOLUTIONS PRIVATE LIMITED"
"157825","SUBPE SOLUTIONS PRIVATE LIMITED"
"157827","SUBPE SOLUTIONS PRIVATE LIMITED"
"158158","Pinnacle Tele Services Private Limited"
"158412","MUDGAL URBAN CO OPERATIVE BANK LTD. MUDGAL"
"159159","GONDIA DIST CENTRAL COOP BANK LTD"
"160000","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"160001","RBL BANK LIMITED"
"160044","Sky Commodities India Private Limited"
"160160","Pinnacle Tele Services Private Limited"
"161111","Aleta Software Labs Private Limited"
"161161","Pinnacle Tele Services Private Limited"
"161616","Blue Jay Finlease Limited"
"162162","Pinnacle Tele Services Private Limited"
"163163","Pinnacle Tele Services Private Limited"
"164164","Pinnacle Tele Services Private Limited"
"165165","Pinnacle Tele Services Private Limited"
"165342","POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED"
"165935","SHRIRAM TRANSPORT FINANCECOMPANY LIMITED"
"166166","Pinnacle Tele Services Private Limited"
"166555","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"166661","Pinnacle Tele Services Private Limited"
"166665","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"166666","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"166667","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
